Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Profit Margin(%),,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-26,26,November,2013,19,Youth ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950,62%,,,1. Find the Revenue for a Customer aged 29 who purchased Bike Racks in Canada.,,,,,,,,,,,,,,,,,,,,,,
2015-11-26,26,November,2015,19,Youth ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950,62%,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-23,23,March,2014,49,Adults ,Male,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,23,45,120,1366,1035,2401,57%,,,,Customer_Age,Profit Margin (%),Formula,,,,,,,,,,,,,,,,,,,
2016-03-23,23,March,2016,49,Adults ,Male,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,20,45,120,1188,900,2088,57%,,,,29,594,"[@[Customer_Age]],E1:S30,14,FALSE",,,,,,,,,,,,,,,,,,,
2014-05-15,15,May,2014,47,Adults ,Female,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,238,180,418,57%,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-15,15,May,2016,47,Adults ,Female,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,297,225,522,57%,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-22,22,May,2014,47,Adults ,Female,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,199,180,379,53%,,,2. Find the Unit Price for an order with an Order Quantity of 8.,,,,,,,,,,,,,,,,,,,,,,
2016-05-22,22,May,2016,47,Adults ,Female,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,100,90,190,53%,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-22,22,February,2014,35,Adults ,Male,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,1096,990,2086,53%,,,,Order_Quantity,Unit_Price,Formula,,,,,,,,,,,,,,,,,,,
2016-02-22,22,February,2016,35,Adults ,Male,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,21,45,120,1046,945,1991,53%,,,,8,120,"[@[Order_Quantity]], M2:T100, 3, FALSE",,,,,,,,,,,,,,,,,,,
2013-07-30,30,July,2013,32,Young Adults ,Female,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,398,360,758,53%,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30,30,July,2015,32,Young Adults ,Female,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,398,360,758,53%,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-15,15,July,2013,34,Young Adults ,Male,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,349,315,664,53%,,,"3. Find the ""State"" where the maximum ""Profit"" was made for Bike Racks.",,,,,,,,,,,,,,,,,,,,,,
2015-07-15,15,July,2015,34,Young Adults ,Male,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,349,315,664,53%,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-02,2,August,2013,29,Young Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594,62%,,,,Column1,Column2,Formula,,,,,,,,,,,,,,,,,,,
2015-08-02,2,August,2015,29,Young Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,517,315,832,62%,,,,Highest Profit ,1366,MAX($P$2:$P$30),,,,,,,,,,,,,,,,,,,
2013-09-02,2,September,2013,29,Young Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238,62%,,,,Row number where max profit appears,3,"MATCH(MAX($P$2:$P$30), $P$2:$P$30, 0)",,,,,,,,,,,,,,,,,,,
2015-09-02,2,September,2015,29,Young Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119,62%,,,,State where Max Profit was made,New South Wales,"INDEX($I$2:$I$30, MATCH(MAX($P$2:$P$30), $P$2:$P$30, 0))",,,,,,,,,,,,,,,,,,,
2014-01-22,22,January,2014,29,Young Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119,62%,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-22,22,January,2016,29,Young Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119,62%,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-17,17,May,2014,29,Young Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713,62%,,,,"4. Find the Profit for a customer from ""Victoria, Australia"" who purchased Bike Racks.",,,,,,,,,,,,,,,,,,,,,
2016-05-17,17,May,2016,29,Young Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950,62%,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-27,27,March,2014,51,Adults ,Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,524,405,929,56%,,,,State,Profit,Formula,,,,,,,,,,,,,,,,,,,
2016-03-27,27,March,2016,51,Adults ,Male,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,407,315,722,56%,,,,Victoria,199,"[@State],$I$1:$S$30,8,FALSE",,,,,,,,,,,,,,,,,,,
2013-08-25,25,August,2013,49,Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,221,135,356,62%,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,25,August,2015,49,Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119,62%,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-26,26,December,2013,49,Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713,62%,,,,5. Find the Customer Gender for an order placed in May 2016.,,,,,,,,,,,,,,,,,,,,,
2015-12-26,26,December,2015,49,Adults ,Male,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594,62%,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,2,January,2014,48,Adults ,Female,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,295,180,475,62%,,,,Year,Gender,Column3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2016,Male,,,,,,,,,,,,,,,,,,,,
